BirthDate,Colleges,Feet,From,Inches,Player,PlayerAdditional,Pos,To,Weight,_id
July 19 1954,Oklahoma,6,1976,9,Alvan Adams,adamsal01,C-F,1988,210,63af8fcbabaabaf6d8915699
November 27 1947,Northwestern,6,1971,6,Don Adams,adamsdo01,F,1977,210,63af8fcbabaabaf6d891569a
May 15 1949,Gardner-Webb University,6,1973,5,George Adams,adamsge01,F-G,1975,210,63af8fcbabaabaf6d891569b
June 20 1984,Arizona,6,2007,4,Hassan Adams,adamsha01,G,2009,220,63af8fcbabaabaf6d891569c
May 4 1996,St. Bonaventure,6,2019,1,Jaylen Adams,adamsja01,G,2021,225,63af8fcbabaabaf6d891569d
July 8 1994,UCLA,6,2015,5,Jordan Adams,adamsjo01,G,2016,209,63af8fcbabaabaf6d891569e
January 19 1963,Boston College,5,1986,10,Michael Adams,adamsmi01,G,1996,162,63af8fcbabaabaf6d891569f
July 20 1993,Pitt,6,2014,11,Steven Adams,adamsst01,C,2023,265,63af8fcbabaabaf6d89156a0
July 22 1964,Syracuse,6,1987,7,Rafael Addison,addisra01,F-G,1997,215,63af8fcbabaabaf6d89156a1
July 18 1997,Kentucky,6,2018,9,Bam Adebayo,adebaba01,C-F,2023,255,63af8fcbabaabaf6d89156a2
February 1 1997,Louisville,6,2019,7,Deng Adel,adelde01,F,2019,200,63af8fcbabaabaf6d89156a3
February 10 1986,UConn,6,2011,7,Jeff Adrien,adrieje01,F,2015,245,63af8fcbabaabaf6d89156a5
October 15 1985,UCLA,6,2008,5,Arron Afflalo,afflaar01,G-F,2018,210,63af8fcbabaabaf6d89156a6
April 20 2000,Kansas,6,2023,5,Ochai Agbaji,agbajoc01,G,2023,215,63af8fcbabaabaf6d89156a7
February 9 1984,Michigan State,6,2007,5,Maurice Ager,agerma01,G,2011,202,63af8fcbabaabaf6d89156a8
December 10 1959,DePaul,6,1982,6,Mark Aguirre,aguirma01,F-G,1994,232,63af8fcbabaabaf6d89156a9
May 27 1984,Missouri State,6,2008,2,Blake Ahearn,ahearbl01,G,2012,190,63af8fcbabaabaf6d89156aa
March 17 1959,BYU,6,1982,4,Danny Ainge,aingeda01,G,1995,175,63af8fcbabaabaf6d89156ab
September 21 1944,Moberly Area Community College Michigan State,6,1968,7,Matt Aitch,aitchma01,F,1968,230,63af8fcbabaabaf6d89156ac
May 6 1988,,7,2009,2,Alexis Ajinça,ajincal01,C-F,2017,248,63af8fcbabaabaf6d89156ad
July 31 1944,Morehead State University,6,1967,10,Henry Akin,akinhe01,C-F,1969,225,63af8fcbabaabaf6d89156ae
February 10 1986,Washington State Cal State Fullerton,5,2013,11,Josh Akognon,akognjo01,G,2013,185,63af8fcbabaabaf6d89156af
June 5 1993,Illinois State,6,2019,6,DeVaughn Akoon-Purcell,akoonde01,G,2019,200,63af8fcbabaabaf6d89156b0
March 21 1988,Florida State,7,2011,1,Solomon Alabi,alabiso01,C,2012,251,63af8fcbabaabaf6d89156b1
December 11 1963,Duke,6,1987,8,Mark Alarie,alarima01,F,1991,217,63af8fcbabaabaf6d89156b2
October 8 1936,Fresno State,6,1960,9,Gary Alcorn,alcorga01,C,1961,225,63af8fcbabaabaf6d89156b3
January 10 2001,Loyola (MD),6,2022,11,Santi Aldama,aldamsa01,F,2023,224,63af8fcbabaabaf6d89156b4
August 9 1991,,6,2015,10,Furkan Aldemir,aldemfu01,F-C,2015,240,63af8fcbabaabaf6d89156b5
October 31 1988,Kansas,6,2011,11,Cole Aldrich,aldrico01,C,2018,250,63af8fcbabaabaf6d89156b6
July 19 1985,Texas,6,2007,11,LaMarcus Aldridge,aldrila01,F-C,2022,250,63af8fcbabaabaf6d89156b7
February 26 1959,Kentucky UConn,6,1985,11,Chuck Aleksinas,aleksch01,C,1985,260,63af8fcbabaabaf6d89156b8
November 16 1995,Kansas,6,2016,8,Cliff Alexander,alexacl01,F,2016,245,63af8fcbabaabaf6d89156b9
June 22 1973,Virginia,6,1996,1,Cory Alexander,alexaco01,G,2005,185,63af8fcbabaabaf6d89156ba
April 27 1977,Virginia Fresno State,6,2001,5,Courtney Alexander,alexaco02,G,2003,205,63af8fcbabaabaf6d89156bb
November 1 1969,South Florida,6,1994,7,Gary Alexander,alexaga01,F,1994,240,63af8fcbabaabaf6d89156bc
December 26 1986,West Virginia,6,2009,8,Joe Alexander,alexajo01,F,2010,230,63af8fcbabaabaf6d89156bd
October 21 1996,Tennessee,6,2020,11,Kyle Alexander,alexaky01,F,2020,220,63af8fcbabaabaf6d89156be
July 16 1998,Creighton,6,2021,3,Ty-Shon Alexander,alexaty01,G,2021,195,63af8fcbabaabaf6d89156bf
August 31 1969,Iowa State,6,1992,9,Victor Alexander,alexavi01,C-F,2002,265,63af8fcbabaabaf6d89156c0
September 2 1998,Virginia Tech,6,2020,6,Nickeil Alexander-Walker,alexani01,G,2023,205,63af8fcbabaabaf6d89156c1
November 23 1964,Indiana,6,1988,2,Steve Alford,alforst01,G,1991,183,63af8fcbabaabaf6d89156c2
October 29 1997,Arizona,6,2019,5,Rawle Alkins,alkinra01,G,2019,225,63af8fcbabaabaf6d89156c3
,New Mexico State,6,1968,8,Bill Allen,allenbi01,C-F,1968,205,63af8fcbabaabaf6d89156c4
July 17 1946,Marshall,6,1969,9,Bob Allen,allenbo01,F,1969,205,63af8fcbabaabaf6d89156c5
October 8 1995,Duke,6,2019,4,Grayson Allen,allengr01,G,2023,198,63af8fcbabaabaf6d89156c6
April 21 1998,Texas,6,2018,11,Jarrett Allen,allenja01,C-F,2023,243,63af8fcbabaabaf6d89156c7
January 28 1973,Penn,6,1996,4,Jerome Allen,allenje01,G,1997,184,63af8fcbabaabaf6d89156c8
January 15 1993,Arizona,6,2018,1,Kadeem Allen,allenka01,G,2020,200,63af8fcbabaabaf6d89156c9
February 4 1989,Temple,6,2012,9,Lavoy Allen,allenla01,F-C,2017,260,63af8fcbabaabaf6d89156ca
September 26 1947,UCLA,6,1970,2,Lucius Allen,allenlu01,G,1979,175,63af8fcbabaabaf6d89156cb
June 27 1978,Villanova,6,2002,10,Malik Allen,allenma01,F-C,2011,255,63af8fcbabaabaf6d89156cc
January 26 1965,Florida State,6,1989,8,Randy Allen,allenra01,F,1990,220,63af8fcbabaabaf6d89156cd
January 11 1982,Butler County Community College Oklahoma State,6,2005,4,Tony Allen,allento01,G-F,2018,213,63af8fcbabaabaf6d89156cf
February 8 1949,Miami (FL),6,1972,6,Willie Allen,allenwi01,F,1972,230,63af8fcbabaabaf6d89156d0
October 2 1949,UNLV,6,1972,6,Odis Allison,allisod01,F,1972,195,63af8fcbabaabaf6d89156d1
February 2 1981,Utah Weber State,6,2008,11,Lance Allred,allrela01,C,2008,250,63af8fcbabaabaf6d89156d2
September 12 1958,UCLA,6,1981,9,Darrell Allums,allumda01,F,1981,220,63af8fcbabaabaf6d89156d3
February 2 1985,Rice University,6,2008,6,Morris Almond,almonmo01,G,2012,225,63af8fcbabaabaf6d89156d4
August 20 1972,Duquesne,6,1995,11,Derrick Alston,alstode01,F,1997,225,63af8fcbabaabaf6d89156d5
July 24 1976,Fresno State,6,2000,2,Rafer Alston,alstora01,G,2010,171,63af8fcbabaabaf6d89156d6
April 23 1973,Liberty,6,1999,10,Peter Aluma,alumape01,C,1999,260,63af8fcbabaabaf6d89156d7
April 12 1998,Georgia Tech,6,2022,1,Jose Alvarado,alvarjo01,G,2023,179,63af8fcbabaabaf6d89156d8
November 26 1970,Vanderbilt Penn State,6,1996,10,John Amaechi,amaecjo01,C-F,2003,270,63af8fcbabaabaf6d89156d9
November 23 1971,Southern Illinois,6,1996,8,Ashraf Amaya,amayaas01,F,1997,230,63af8fcbabaabaf6d89156da
September 21 1990,Wake Forest,6,2011,8,Al-Farouq Aminu,aminual01,F,2021,220,63af8fcbabaabaf6d89156db
December 7 1982,UNLV,6,2007,9,Lou Amundson,amundlo01,F-C,2016,220,63af8fcbabaabaf6d89156dc
August 24 1937,Michigan State,6,1960,3,Bob Anderegg,anderbo01,F-G,1960,200,63af8fcbabaabaf6d89156dd
July 7 1978,Blinn College,6,2002,10,Chris Andersen,anderch01,C-F,2017,245,63af8fcbabaabaf6d89156de
June 23 1980,,6,2010,11,David Andersen,anderda03,C,2011,245,63af8fcbabaabaf6d89156df
October 16 1982,Michigan State,6,2006,6,Alan Anderson,anderal01,G-F,2017,220,63af8fcbabaabaf6d89156e0
July 6 1945,Canisius,6,1968,2,Andy Anderson,anderan01,G,1970,184,63af8fcbabaabaf6d89156e1
June 5 1985,Memphis,6,2010,6,Antonio Anderson,anderan02,G,2010,215,63af8fcbabaabaf6d89156e2
September 7 1944,"Saint Joseph's",6,1968,2,Cliff Anderson,andercl01,G-F,1971,200,63af8fcbabaabaf6d89156e3
February 15 1943,Augsburg College,6,1968,10,Dan Anderson,anderda01,C,1969,230,63af8fcbabaabaf6d89156e4
January 1 1951,USC,6,1975,2,Dan Anderson,anderda02,G,1976,185,63af8fcbabaabaf6d89156e5
July 18 1974,Ohio State Kentucky,6,1998,5,Derek Anderson,anderde01,G,2008,194,63af8fcbabaabaf6d89156e6
December 28 1960,Kentucky USC,6,1983,3,Dwight Anderson,anderdw01,G,1983,185,63af8fcbabaabaf6d89156e7
May 26 1970,Indiana,6,1993,9,Eric Anderson,anderer01,F,1994,220,63af8fcbabaabaf6d89156e8
June 22 1964,Houston,6,1988,10,Greg Anderson,andergr01,F-C,1998,230,63af8fcbabaabaf6d89156e9
September 23 1960,Bradley,6,1983,8,J.J. Anderson,anderjj01,F,1985,195,63af8fcbabaabaf6d89156ea
March 25 1989,Oklahoma State,6,2011,6,James Anderson,anderja01,G-F,2016,213,63af8fcbabaabaf6d89156eb
October 9 1953,West Virginia,6,1976,5,Jerome Anderson,anderje01,G,1977,195,63af8fcbabaabaf6d89156ec
November 19 1993,Virginia,6,2016,6,Justin Anderson,anderju01,G,2022,230,63af8fcbabaabaf6d89156ed
October 9 1970,Georgia Tech,6,1992,1,Kenny Anderson,anderke01,G,2005,168,63af8fcbabaabaf6d89156ee
May 12 1955,Missouri,6,1979,7,Kim Anderson,anderki01,F,1979,200,63af8fcbabaabaf6d89156ef
September 20 1993,UCLA,6,2015,9,Kyle Anderson,anderky01,F-G,2023,230,63af8fcbabaabaf6d89156f0
March 23 1966,Drexel,5,1989,11,Michael Anderson,andermi01,G,1989,184,63af8fcbabaabaf6d89156f1
January 20 1968,Illinois,6,1990,6,Nick Anderson,anderni01,F-G,2002,205,63af8fcbabaabaf6d89156f2
November 19 1960,UC Santa Barbara,6,1983,10,Richard Anderson,anderri01,F-C,1990,240,63af8fcbabaabaf6d89156f3
October 15 1958,Fresno State,6,1985,7,Ron Anderson,anderro01,F-G,1994,215,63af8fcbabaabaf6d89156f4
May 6 1988,California,6,2009,9,Ryan Anderson,anderry01,F,2020,240,63af8fcbabaabaf6d89156f5
December 31 1973,Georgia,6,1997,6,Shandon Anderson,andersh01,F-G,2006,208,63af8fcbabaabaf6d89156f6
January 8 1967,Georgia,6,1989,7,Willie Anderson,anderwi01,G-F,1997,190,63af8fcbabaabaf6d89156f7
January 11 1946,Creighton,6,1970,7,Wally Anderzunas,anderwa01,C-F,1970,220,63af8fcbabaabaf6d89156f8
March 12 1986,,7,2006,2,Martynas Andriuškevičius,andrima01,C,2006,240,63af8fcbabaabaf6d89156f9
November 1 1930,Missouri State,6,1955,7,Don Anielak,anieldo01,F,1955,190,63af8fcbabaabaf6d89156fa
October 17 1998,UCLA,6,2018,10,Ike Anigbogu,anigbik01,F-C,2019,250,63af8fcbabaabaf6d89156fb
February 8 1967,Alabama,6,1990,7,Michael Ansley,anslemi01,F,1992,225,63af8fcbabaabaf6d89156fc
January 1 1975,,7,1998,1,Chris Anstey,anstech01,C,2000,249,63af8fcbabaabaf6d89156fd
December 6 1994,,7,2014,1,Giannis Antetokounmpo,antetgi01,F-G,2023,242,63af8fcbabaabaf6d89156fe
November 20 1997,Dayton,6,2019,10,Kostas Antetokounmpo,antetko01,F,2021,200,63af8fcbabaabaf6d89156ff
July 18 1992,,6,2016,6,Thanasis Antetokounmpo,antetth01,F,2023,219,63af8fcbabaabaf6d8915700
May 29 1984,Syracuse,6,2004,7,Carmelo Anthony,anthoca01,F,2022,238,63af8fcbabaabaf6d8915701
May 15 2000,UNC,6,2021,2,Cole Anthony,anthoco01,G,2023,185,63af8fcbabaabaf6d8915702
November 15 1967,University of Portland UNLV,6,1992,1,Greg Anthony,anthogr01,G,2002,176,63af8fcbabaabaf6d8915703
August 9 1982,UNLV,6,2008,9,Joel Anthony,anthojo01,C,2017,245,63af8fcbabaabaf6d8915704
July 29 1982,,6,2014,11,Pero Antić,anticpe01,C-F,2015,260,63af8fcbabaabaf6d8915705
July 17 1997,Indiana,6,2018,7,OG Anunoby,anunoog01,F,2023,232,63af8fcbabaabaf6d8915706
February 13 1992,Michigan State,6,2016,1,Keith Appling,applike01,G,2016,185,63af8fcbabaabaf6d8915707
August 12 1980,BYU,6,2005,11,Rafael Araújo,araujra01,C,2007,280,63af8fcbabaabaf6d8915708
February 17 1936,Iowa State,6,1962,4,Stacey Arceneaux,arcenst01,F,1962,210,63af8fcbabaabaf6d8915709
March 29 1980,Illinois,6,2003,11,Robert Archibald,archiro01,F,2004,250,63af8fcbabaabaf6d891570a
March 26 1994,Villanova,6,2018,3,Ryan Arcidiacono,arcidry01,G,2023,195,63af8fcbabaabaf6d891570c
September 19 1948,Cincinnati,6,1971,8,Jim Ard,ardji01,F-C,1978,215,63af8fcbabaabaf6d891570d
January 6 1982,Arizona,6,2002,4,Gilbert Arenas,arenagi01,G,2012,191,63af8fcbabaabaf6d891570e
June 30 1985,UCLA,6,2005,8,Trevor Ariza,arizatr01,F,2022,215,63af8fcbabaabaf6d891570f
July 20 1965,Niagara University,6,1988,9,Joe Arlauckas,arlaujo01,F,1988,230,63af8fcbabaabaf6d8915711
September 9 1967,Iowa,6,1990,2,B.J. Armstrong,armstbj01,G,2000,175,63af8fcbabaabaf6d8915712
June 17 1933,Michigan State,6,1957,8,Bob Armstrong,armstbo01,C-F,1957,220,63af8fcbabaabaf6d8915713
June 16 1980,Pepperdine,6,2002,5,Brandon Armstrong,armstbr01,G,2004,188,63af8fcbabaabaf6d8915714
November 1 1918,Indiana,5,1949,11,Curly Armstrong,armstcu01,G-F,1951,170,63af8fcbabaabaf6d8915715
June 22 1968,Fayetteville State University,6,1995,1,Darrell Armstrong,armstda01,G,2008,170,63af8fcbabaabaf6d8915716
November 11 1984,UConn,6,2007,11,Hilton Armstrong,armsthi01,F-C,2014,235,63af8fcbabaabaf6d8915717
October 5 1955,Duke,6,1978,3,Tate Armstrong,armstta01,G,1979,175,63af8fcbabaabaf6d8915718
December 30 1933,Penn State,6,1956,5,Jesse Arnelle,arnelje01,F,1956,220,63af8fcbabaabaf6d8915719
December 19 1938,Texas,6,1964,2,Jay Arnette,arnetja01,G,1966,175,63af8fcbabaabaf6d891571a
November 3 1947,Notre Dame,6,1970,5,Bob Arnzen,arnzebo01,F,1974,205,63af8fcbabaabaf6d891571b
July 30 1979,Florida International University,6,2002,2,Carlos Arroyo,arroyca01,G,2011,202,63af8fcbabaabaf6d891571c
March 25 1988,Kansas,6,2009,9,Darrell Arthur,arthuda01,F,2018,235,63af8fcbabaabaf6d891571d
August 15 1947,Tulane,6,1970,4,John Arthurs,arthujo01,G,1970,185,63af8fcbabaabaf6d891571e
January 12 1993,Pitt,6,2018,7,Jamel Artis,artisja01,G-F,2018,213,63af8fcbabaabaf6d891571f
July 4 1986,,7,2011,1,Ömer Aşık,asikom01,C,2018,255,63af8fcbabaabaf6d8915720
February 28 1966,Memphis,6,1988,6,Vincent Askew,askewvi01,G-F,1998,210,63af8fcbabaabaf6d8915721
December 15 1967,Alabama,6,1991,7,Keith Askins,askinke01,G-F,1999,197,63af8fcbabaabaf6d8915722
February 15 1928,Alliance College,6,1954,2,Don Asmonga,asmondo01,G,1954,185,63af8fcbabaabaf6d8915723
September 21 1931,Indiana State University,6,1956,2,Dick Atha,athadi01,G,1958,190,63af8fcbabaabaf6d8915724
August 14 1974,South Florida,5,2000,11,Chucky Atkins,atkinch01,G,2010,160,63af8fcbabaabaf6d8915725
May 18 1916,Michigan State,5,1947,10,Chet Aubuchon,aubucch01,G,1947,137,63af8fcbabaabaf6d8915727
August 1 1968,UNLV,6,1992,8,Stacey Augmon,augmost01,F-G,2006,205,63af8fcbabaabaf6d8915728
November 10 1987,Texas,5,2009,11,D.J. Augustin,augusdj01,G,2022,183,63af8fcbabaabaf6d8915729
February 27 1984,Illinois,6,2007,10,James Augustine,augusja01,F,2008,235,63af8fcbabaabaf6d891572a
August 18 1969,Arizona State,6,1992,10,Isaac Austin,austiis01,C,2002,255,63af8fcbabaabaf6d891572b
August 31 1944,Boston College,6,1967,1,Johnny Austin,austijo01,G,1968,170,63af8fcbabaabaf6d891572c
July 15 1961,Rice University,6,1984,9,Ken Austin,austike01,F,1984,205,63af8fcbabaabaf6d891572d
January 3 2001,,6,2021,9,Deni Avdija,avdijde01,G-F,2023,210,63af8fcbabaabaf6d891572e
October 18 1969,Seton Hall,6,1993,9,Anthony Avent,aventan01,F,2000,235,63af8fcbabaabaf6d891572f
July 22 1952,Pepperdine,6,1974,1,Bird Averitt,averibi01,G,1978,170,63af8fcbabaabaf6d8915730
August 8 1979,Duke,6,2000,2,William Avery,averywi01,G,2002,197,63af8fcbabaabaf6d8915731
February 22 1948,Santa Clara,6,1971,10,Dennis Awtrey,awtrede01,C,1982,235,63af8fcbabaabaf6d8915732
March 5 2000,Gonzaga,6,2022,5,Joel Ayayi,ayayijo01,G,2022,180,63af8fcbabaabaf6d8915733
April 1 1985,,6,2012,10,Gustavo Ayón,ayongu01,C,2014,250,63af8fcbabaabaf6d8915734
April 29 1987,Arizona State,6,2010,9,Jeff Ayres,pendeje02,F,2016,240,63af8fcbabaabaf6d8915735
July 23 1998,Arizona,6,2019,11,Deandre Ayton,aytonde01,C,2023,250,63af8fcbabaabaf6d8915736
December 16 1983,Kentucky,6,2007,5,Kelenna Azubuike,azubuke01,G,2012,220,63af8fcbabaabaf6d8915737
September 17 1999,Kansas,6,2021,10,Udoka Azubuike,azubuud01,C,2023,280,63af8fcbabaabaf6d8915738
February 14 1990,Penn State Iowa State,6,2014,5,Chris Babb,babbch01,G,2014,225,63af8fcbabaabaf6d8915739
June 20 1989,Nevada,6,2011,9,Luke Babbitt,babbilu01,F,2018,225,63af8fcbabaabaf6d891573a
November 23 1968,Tennessee Technological University,7,1991,1,Miloš Babić,babicmi01,C-F,1992,240,63af8fcbabaabaf6d891573b
July 10 1924,Fordham,6,1949,2,Johnny Bach,bachjo01,F-G,1949,180,63af8fcbabaabaf6d891573c
August 30 1995,Florida State,6,2018,6,Dwayne Bacon,bacondw01,G,2021,221,63af8fcbabaabaf6d891573d
July 5 1948,Louisville,6,1973,3,Henry Bacon,baconhe01,G,1973,205,63af8fcbabaabaf6d891573e
December 9 1927,Eastern Kentucky University,6,1953,4,Jim Baechtold,baechji01,F-G,1957,205,63af8fcbabaabaf6d891573f
February 7 1980,,7,2001,1,Dalibor Bagarić,bagarda01,C,2003,255,63af8fcbabaabaf6d8915740
April 23 1960,Boston College,6,1983,1,John Bagley,baglejo01,G,1994,185,63af8fcbabaabaf6d8915741
March 14 1999,Duke,6,2019,11,Marvin Bagley III,baglema01,F-C,2023,235,63af8fcbabaabaf6d8915742
April 23 1958,Tuskegee University,7,1982,1,Carl Bailey,baileca01,C,1982,210,63af8fcbabaabaf6d8915743
February 18 1951,Texas-El Paso,6,1975,5,Gus Bailey,bailegu01,G-F,1980,185,63af8fcbabaabaf6d8915744
May 21 1957,Rutgers University,6,1980,9,James Bailey,baileja01,F-C,1988,220,63af8fcbabaabaf6d8915745
April 7 1961,NC State,6,1984,11,Thurl Bailey,baileth01,F-C,1999,215,63af8fcbabaabaf6d8915746
November 19 1975,UCLA,6,1999,6,Toby Bailey,baileto01,G,2000,213,63af8fcbabaabaf6d8915747
December 7 1990,New Mexico,6,2015,9,Cameron Bairstow,bairsca01,F-C,2016,250,63af8fcbabaabaf6d8915748
December 25 1953,UNLV Hawaii,6,1976,9,Jimmie Baker,bakerji01,F,1976,220,63af8fcbabaabaf6d8915749
November 11 1969,Ohio State,6,1999,1,Mark Baker,bakerla01,G,1999,175,63af8fcbabaabaf6d891574a
July 28 1979,Oklahoma State,6,2005,1,Maurice Baker,bakerma01,G,2005,175,63af8fcbabaabaf6d891574b
February 17 1923,,6,1947,1,Norm Baker,bakerno01,G,1947,180,63af8fcbabaabaf6d891574c
March 30 1993,Wichita State,6,2017,4,Ron Baker,bakerro01,G,2019,220,63af8fcbabaabaf6d891574d
November 23 1971,University of Hartford,6,1994,11,Vin Baker,bakervi01,F,2006,232,63af8fcbabaabaf6d891574e
November 18 2002,UW-Milwaukee,6,2023,9,Patrick Baldwin Jr.,baldwpa01,G-F,2023,220,63af8fcbabaabaf6d891574f
March 29 1996,Vanderbilt,6,2017,4,Wade Baldwin,baldwwa01,G,2019,200,63af8fcbabaabaf6d8915750
July 14 1984,South Carolina,6,2007,8,Renaldo Balkman,balkmre01,F,2012,208,63af8fcbabaabaf6d8915751
April 16 1968,UNC Charlotte,6,1991,8,Cedric Ball,ballce01,F,1991,210,63af8fcbabaabaf6d8915752
August 22 2001,,6,2021,7,LaMelo Ball,ballla01,G,2023,180,63af8fcbabaabaf6d8915753
October 27 1997,UCLA,6,2018,6,Lonzo Ball,balllo01,G,2022,190,63af8fcbabaabaf6d8915754
January 29 1955,Oregon,6,1978,7,Greg Ballard,ballagr01,F,1989,215,63af8fcbabaabaf6d8915755
June 21 1921,Penn State,6,1947,4,Herschel Baltimore,baltihe01,F,1947,195,63af8fcbabaabaf6d8915756
May 12 1998,Texas,7,2019,1,Mo Bamba,bambamo01,C,2023,231,63af8fcbabaabaf6d8915757
November 12 2002,Duke,6,2023,10,Paolo Banchero,banchpa01,F,2023,250,63af8fcbabaabaf6d8915758
June 25 1998,TCU,6,2021,5,Desmond Bane,banede01,G,2023,215,63af8fcbabaabaf6d8915759
May 15 1959,Duke,6,1982,7,Gene Banks,banksge01,F-G,1987,215,63af8fcbabaabaf6d891575a
November 19 1981,UNLV,6,2004,2,Marcus Banks,banksma01,G,2011,200,63af8fcbabaabaf6d891575b
August 26 1947,Western Kentucky,6,1971,10,Walker Banks,bankswa01,C,1971,205,63af8fcbabaabaf6d891575c
April 1 1960,"Indiana State University Saint Augustine's College",6,1985,9,Ken Bannister,bannike01,F-C,1991,235,63af8fcbabaabaf6d891575d
December 3 1951,"Saint Joseph's",6,1974,9,Mike Bantom,bantomi01,F-C,1982,200,63af8fcbabaabaf6d891575e
November 7 1999,Nebraska,6,2022,9,Dalano Banton,bantoda01,G-F,2023,204,63af8fcbabaabaf6d891575f
July 25 1994,NC State,6,2022,2,Cat Barber,barbeca01,G,2022,190,63af8fcbabaabaf6d8915760
June 27 1927,California State University Los Angeles,6,1957,6,John Barber,barbejo01,F,1957,210,63af8fcbabaabaf6d8915761
November 28 1982,,6,2004,3,Leandro Barbosa,barbole01,G,2017,194,63af8fcbabaabaf6d8915762
April 5 1968,Illinois,6,1992,5,Steve Bardo,bardost01,G,1996,190,63af8fcbabaabaf6d8915763
June 26 1984,Northeastern University,5,2007,10,J.J. Barea,bareajo01,G,2020,180,63af8fcbabaabaf6d8915764
October 26 1985,,7,2007,1,Andrea Bargnani,bargnan01,F-C,2016,245,63af8fcbabaabaf6d8915765
January 15 1921,Kentucky,6,1950,2,Cliff Barker,barkecl01,G,1952,185,63af8fcbabaabaf6d8915766
March 11 1955,Hawaii,6,1977,11,Tom Barker,barketo01,C-F,1979,225,63af8fcbabaabaf6d8915767
February 21 1978,"St. John's",6,2001,1,Erick Barkley,barkler01,G,2002,177,63af8fcbabaabaf6d8915769
May 26 2003,,6,2023,9,Dominick Barlow,barlodo01,F,2023,221,63af8fcbabaabaf6d891576b
May 30 1992,UNC,6,2013,8,Harrison Barnes,barneha02,F,2023,225,63af8fcbabaabaf6d891576c
July 25 1945,Northeastern University,6,1969,3,Harry Barnes,barneha01,F,1969,205,63af8fcbabaabaf6d891576d
April 13 1941,Texas-El Paso,6,1965,8,Jim Barnes,barneji01,C-F,1971,210,63af8fcbabaabaf6d891576e
July 27 1952,Providence,6,1975,8,Marvin Barnes,barnema01,F-C,1980,210,63af8fcbabaabaf6d891576f
March 9 1980,UCLA,6,2004,7,Matt Barnes,barnema02,F,2017,226,63af8fcbabaabaf6d8915770
August 1 2001,Florida State,6,2022,9,Scottie Barnes,barnesc01,G-F,2023,227,63af8fcbabaabaf6d8915771
October 2 1936,Tennessee State,6,1960,4,Dick Barnett,barnedi01,G-F,1974,190,63af8fcbabaabaf6d8915772
July 7 1944,Oregon,6,1967,4,Jim Barnett,barneji02,G-F,1977,170,63af8fcbabaabaf6d8915773
January 29 1953,University of Akron,6,1976,3,Nate Barnett,barnena01,G,1976,175,63af8fcbabaabaf6d8915774
March 20 1938,Tennessee State,6,1963,1,John Barnhill,barnhjo01,G,1972,180,63af8fcbabaabaf6d8915775
July 15 1953,Washington State,6,1977,4,Norton Barnhill,barnhno01,G,1977,205,63af8fcbabaabaf6d8915776
May 11 1924,Notre Dame,6,1950,4,Leo Barnhorst,barnhle01,F-G,1954,190,63af8fcbabaabaf6d8915777
August 18 1918,Penn State,6,1947,3,John Barr,barrjo01,F,1947,205,63af8fcbabaabaf6d8915778
October 19 1950,Duquesne,6,1973,3,Mike Barr,barrmi01,G,1977,180,63af8fcbabaabaf6d8915779
June 19 1944,Duquesne,6,1971,4,Moe Barr,barrmo01,G,1971,195,63af8fcbabaabaf6d891577a
February 21 1982,Seton Hall,5,2005,10,Andre Barrett,barrean01,G,2008,172,63af8fcbabaabaf6d891577b
August 27 1929,Kansas State,6,1954,3,Ernie Barrett,barreer01,G-F,1956,180,63af8fcbabaabaf6d891577c
